Energy Density,Pressure
1.344937180094188e-16,5.655460842296061e-38
1.3457890871862403e-16,5.66262765001322e-38
1.3466415338913833e-16,5.669803539772467e-38
1.3474945205513954e-16,5.676988523082708e-38
1.3483480475083043e-16,5.684182611467722e-38
1.349202115104355e-16,5.691385816465885e-38
1.350056723681976e-16,5.698598149629919e-38
1.350911873583845e-16,5.705819622527462e-38
1.3517675651528584e-16,5.713050246740818e-38
1.3526237987320949e-16,5.720290033866679e-38
1.353480574664895e-16,5.727538995516813e-38
1.3543378932947747e-16,5.734797143317328e-38
1.3551957549654979e-16,5.742064488909344e-38
1.3560541600210474e-16,5.749341043948733e-38
1.3569131088055909e-16,5.756626820105858e-38
1.3577726016635468e-16,5.763921829066154e-38
1.3586326389395524e-16,5.77122608252986e-38
1.3594932209784285e-16,5.778539592211761e-38
1.3603543481252503e-16,5.785862369841774e-38
1.3612160207253093e-16,5.793194427164677e-38
1.3620782391240824e-16,5.800535775939849e-38
1.3629410036673e-16,5.807886427941852e-38
1.3638043147009101e-16,5.815246394960172e-38
1.364668172571048e-16,5.82261568879895e-38
1.3655325776241118e-16,5.829994321277669e-38
1.3663975302066743e-16,5.837382304230402e-38
1.3672630306655616e-16,5.844779649506512e-38
1.3681290793478194e-16,5.85218636897037e-38
1.3689956766006798e-16,5.859602474501103e-38
1.3698628227716285e-16,5.867027977993175e-38
1.370730518208371e-16,5.874462891356124e-38
1.3715987632588e-16,5.881907226514292e-38
1.3724675582710612e-16,5.889360995407419e-38
1.373336903593522e-16,5.896824209990378e-38
1.3742067995747354e-16,5.9042968822329e-38
1.3750772465635104e-16,5.911779024120176e-38
1.375948244908876e-16,5.919270647652584e-38
1.3768197949600484e-16,5.92677176484542e-38
1.377691897066511e-16,5.934282387729593e-38
1.378564551577922e-16,5.94180252835087e-38
1.379437758844197e-16,5.949332198770573e-38
1.3803115192154712e-16,5.956871411065312e-38
1.3811858330420686e-16,5.964420177326705e-38
1.382060700674569e-16,5.971978509661988e-38
1.3829361224637744e-16,5.979546420193738e-38
1.3838120987606748e-16,5.987123921059604e-38
1.3846886299165164e-16,5.994711024412904e-38
1.3855657162827678e-16,6.002307742422363e-38
1.3864433582110873e-16,6.009914087271831e-38
1.387321556053388e-16,6.01753007116089e-38
1.388200310161808e-16,6.025155706304584e-38
1.3890796208886729e-16,6.032791004933141e-38
1.3899594885865776e-16,6.04043597929268e-38
1.390839913608295e-16,6.048090641644446e-38
1.3917208963068542e-16,6.055755004265516e-38
1.39260243703551e-16,6.063429079448529e-38
1.393484536147706e-16,6.071112879501401e-38
1.3943671939971428e-16,6.078806416747942e-38
1.3952504109377463e-16,6.086509703527583e-38
1.396134187323632e-16,6.09422275219509e-38
1.3970185235091739e-16,6.101945575121188e-38
1.3979034198489704e-16,6.109678184692273e-38
1.3987888766978098e-16,6.117420593310143e-38
1.3996748944107412e-16,6.12517281339261e-38
1.4005614733430362e-16,6.132934857373221e-38
1.4014486138501582e-16,6.140706737700983e-38
1.4023363162878423e-16,6.148488466841074e-38
1.403224581012002e-16,6.156280057274073e-38
1.4041134083788107e-16,6.164081521496669e-38
1.4050027987446685e-16,6.171892872021396e-38
1.405892752466165e-16,6.179714121376334e-38
1.4067832699001519e-16,6.187545282105749e-38
1.407674351403706e-16,6.195386366769797e-38
1.4085659973340962e-16,6.203237387944251e-38
1.4094582080488513e-16,6.21109835822112e-38
