e,p
1.3924340457851642e-20,2.2541650201420922e-27
2.5421936532888806e-20,6.153653061416836e-27
4.196132697414555e-20,1.418146261638314e-26
6.445915202126844e-20,2.900490149022521e-26
9.383205334670186e-20,5.423249751720818e-26
1.309966742692487e-19,9.45734571794663e-26
1.76869659982386e-19,1.5598573432444905e-25
2.323676577717087e-19,2.458209925456378e-25
2.9840731720596907e-19,3.7297785112787458e-25
3.759052904337321e-19,5.480116422784761e-25
4.657782323029696e-19,7.833642800452271e-25
5.689428006623742e-19,1.09339739457483e-24
6.863156565353152e-19,1.494636697268969e-24
8.188134643590256e-19,2.0058693126685076e-24
9.673528922113652e-19,2.6483094497457336e-24
1.1328506119940942e-18,3.445726797155851e-24
1.3162232997093375e-18,4.424603910964621e-24
1.518387635605582e-18,5.614310169505209e-24
1.740260304491417e-18,7.047172183677404e-24
1.982757995878426e-18,8.758705736756756e-24
2.246797404217268e-18,1.0787715187169929e-23
2.5332952291337572e-18,1.3176459139786942e-23
2.8431681756773744e-18,1.597076227404345e-23
3.177332954445516e-18,1.922023071662065e-23
3.536706281912769e-18,2.2978310026397567e-23
3.9222048805924356e-18,2.730252955960714e-23
4.334745479247773e-18,3.225453560409465e-23
4.7752448131404884e-18,3.790035645338533e-23
5.2446196242606205e-18,4.431045210807202e-23
5.743786661475634e-18,5.155994621562434e-23
6.273662680878333e-18,5.972866748821172e-23
6.8351644458552006e-18,6.890141477677104e-23
7.429208727434309e-18,7.916800677239426e-23
8.056712304415784e-18,9.062348909544374e-23
8.718591963645165e-18,1.0336825026545685e-22
9.415764500205994e-18,1.1750817908887354e-22
1.0149146717686965e-17,1.331547723453764e-22
1.0919655428312387e-17,1.5042541642908727e-22
1.1728207453215543e-17,1.6944335421430917e-22
1.2575719622724475e-17,1.9033788386107656e-22
1.3463108776448952e-17,2.132446404563524e-22
1.4391291763578694e-17,2.38305538029076e-22
1.5361185443107017e-17,2.6566907604205327e-22
1.6373706684017215e-17,2.954904222276032e-22
1.742977236554349e-17,3.27931536841027e-22
1.8530299377344914e-17,3.6316130519764157e-22
1.9676204619729082e-17,4.0135584416467074e-22
2.0868405003987598e-17,4.426983779077755e-22
2.2107817452371212e-17,4.873796769199789e-22
2.3395358898549577e-17,5.355979586188904e-22
2.4731946287772766e-17,5.875591524207735e-22
2.611849657694583e-17,6.4347709026253195e-22
2.7555926735038823e-17,7.03573572870227e-22
2.904515374323593e-17,7.680784360275931e-22
3.05870945951094e-17,8.372299481871409e-22
3.2182666296880476e-17,9.112747110673807e-22
3.383278586764306e-17,9.90467957861149e-22
3.5538370339587405e-17,1.0750736195041248e-21
3.730033675817399e-17,1.1653644572118649e-21
3.911960218245663e-17,1.2616222778524819e-21
4.099708368519433e-17,1.364138099617938e-21
4.2933698353050026e-17,1.4732121685911728e-21
4.493036328702553e-17,1.5891542072530434e-21
4.698799560232478e-17,1.7122836132878735e-21
4.910751242895036e-17,1.8429294264491958e-21
5.1289830911678546e-17,1.9814305936338195e-21
5.353586821032032e-17,2.1281362008216387e-21
5.584654150003193e-17,2.283405423374247e-21
5.822276797140195e-17,2.4476078076761307e-21
6.066546483086121e-17,2.621123337403189e-21
6.317554930065807e-17,2.8043426488954112e-21
6.575393861921867e-17,2.9976672299624316e-21
6.840155004144513e-17,3.201509403316394e-21
7.111930083877773e-17,3.416292475676121e-21
7.390810829944343e-17,3.6424511519453405e-21
7.676888972879124e-17,3.8804313861085245e-21
7.970256244939176e-17,4.130690580036437e-21
8.271004380122351e-17,4.3936979976643726e-21
8.579225114215744e-17,4.669934367381043e-21
8.895010184775827e-17,4.9598927766535646e-21
9.218451331193047e-17,5.264077992775158e-21
9.549640294676927e-17,5.583007324355866e-21
9.888668818315702e-17,5.917210207144321e-21
1.0235628647051463e-16,6.267228899847182e-21
1.059061152774975e-16,6.633618086518021e-21
1.0953709209184636e-16,7.016945423272595e-21
1.1325013442093398e-16,7.41779138918468e-21
1.170461597916409e-16,7.836749766732822e-21
1.2092608575085254e-16,8.27442742642765e-21
1.2489082986548387e-16,8.731444740990116e-21
1.289413097229518e-16,9.208435601918616e-21
1.3307844293102585e-16,9.70604755202603e-21
1.3730314711839988e-16,1.0224942116782299e-20
1.4161633993466722e-16,1.0765794688344531e-20
1.4601893905069331e-16,1.1329294906600963e-20
1.505118621588147e-16,1.1916146543201066e-20
1.5509602697291334e-16,1.2527067948868019e-20
1.5977235122891387e-16,1.3162791871160309e-20
1.6454175268458464e-16,1.3824066034321234e-20
1.6940514912030813e-16,1.4511652824503457e-20
1.7436345833875794e-16,1.5226329753648624e-20
1.7941759816549512e-16,1.5968889360084594e-20
1.8456848644901786e-16,1.674013962270365e-20
1.8981704106096042e-16,1.7540904060365305e-20
1.9516417989651551e-16,1.8372021433687942e-20
2.0061082087431004e-16,1.923434667280808e-20
2.0615788193700153e-16,2.012875034723221e-20
2.1180628105125324e-16,2.1056119096582198e-20
2.1755693620795792e-16,2.2017355763132265e-20
2.234107654226104e-16,2.301337955748032e-20
2.2936868673543217e-16,2.40451260916822e-20
2.3543161821144546e-16,2.511354777686278e-20
2.416004779410452e-16,2.621961352500764e-20
2.478761840399491e-16,2.736430931224546e-20
2.542596546494215e-16,2.8548638245116534e-20
2.60751807936621e-16,2.977362042803576e-20
2.673535620946009e-16,3.104029362597777e-20
2.740658353429794e-16,3.234971273432881e-20
2.8088954592764244e-16,3.3702950607243233e-20
2.8782561212116526e-16,3.5101097660032343e-20
2.948749522231607e-16,3.654526239931257e-20
3.020384845603539e-16,3.8036571356736936e-20
3.0931712748675575e-16,3.957616935406914e-20
3.167117993840611e-16,4.116521933751223e-20
3.2422341866169796e-16,4.280490330546788e-20
3.318529037572255e-16,4.449642121510584e-20
3.396011731362841e-16,4.6240992506539815e-20
3.474691452930675e-16,4.803985504253124e-20
3.554577387505218e-16,4.989426613565122e-20
3.635678720602709e-16,5.1805502283206546e-20
3.7180046380328697e-16,5.3774859233508114e-20
3.801564325898168e-16,5.580365244975065e-20
3.88636697059555e-16,5.789321697747558e-20
3.9724217588219087e-16,6.004490767651093e-20
4.059737877570857e-16,6.226009958544807e-20
4.148324514142414e-16,6.454018749089645e-20
4.2381908561370466e-16,6.688658692151129e-20
4.3293460914638646e-16,6.930073348530841e-20
4.421799408340129e-16,7.178408330040966e-20
4.515559995294229e-16,7.433811355832521e-20
4.610637041167674e-16,7.696432199380553e-20
4.707039735117329e-16,7.966422741498938e-20
4.804777266617649e-16,8.243936976967249e-20
4.903858825460931e-16,8.529131044351576e-20
5.004293601765264e-16,8.822163202810553e-20
5.106090785970307e-16,9.123193881796739e-20
5.209259568840514e-16,9.432385687683477e-20
5.31380914147185e-16,9.749903413705164e-20
5.419748695290544e-16,1.0075914033330404e-19
5.527087422053588e-16,1.0410586766530526e-19
5.635834513854701e-16,1.0754093049958747e-19
5.745999163124086e-16,1.110660656677101e-19
5.857590562632388e-16,1.1468303256566248e-19
5.970617905489973e-16,1.1839361351834096e-19
6.085090385154859e-16,1.221996132825347e-19
6.201017195425529e-16,1.2610286047169907e-19
6.318407530453335e-16,1.3010520596551103e-19
6.437270584738541e-16,1.3420852456658213e-19
6.557615553132297e-16,1.3841471440404197e-19
6.679451630843109e-16,1.4272569716547782e-19
6.802788013436337e-16,1.4714341829574026e-19
6.927633896833704e-16,1.516698473614201e-19
7.053998477319749e-16,1.5630697771950563e-19
7.181890951544318e-16,1.6105682708066508e-19
7.311320516521566e-16,1.6592143747611255e-19
