e,p
1.3924340457851643e-12,2.254165020142092e-19
2.5421936532888804e-12,6.153653061416836e-19
4.196132697414554e-12,1.4181462616383137e-18
6.445915202126843e-12,2.9004901490225206e-18
9.383205334670186e-12,5.423249751720818e-18
1.309966742692487e-11,9.457345717946628e-18
1.7686965998238602e-11,1.5598573432444904e-17
2.3236765777170868e-11,2.4582099254563778e-17
2.9840731720596903e-11,3.729778511278745e-17
3.759052904337321e-11,5.480116422784761e-17
4.657782323029695e-11,7.833642800452271e-17
5.689428006623741e-11,1.0933973945748299e-16
6.863156565353152e-11,1.494636697268969e-16
8.188134643590254e-11,2.0058693126685074e-16
9.673528922113651e-11,2.648309449745733e-16
1.132850611994094e-10,3.4457267971558513e-16
1.3162232997093375e-10,4.4246039109646205e-16
1.5183876356055818e-10,5.614310169505209e-16
1.7402603044914172e-10,7.047172183677403e-16
1.982757995878426e-10,8.758705736756755e-16
2.246797404217268e-10,1.0787715187169928e-15
2.533295229133757e-10,1.3176459139786943e-15
2.8431681756773745e-10,1.597076227404345e-15
3.1773329544455157e-10,1.9220230716620647e-15
3.5367062819127684e-10,2.2978310026397565e-15
3.9222048805924354e-10,2.730252955960714e-15
4.334745479247772e-10,3.225453560409465e-15
4.775244813140488e-10,3.790035645338533e-15
5.24461962426062e-10,4.431045210807201e-15
5.743786661475634e-10,5.155994621562433e-15
6.273662680878333e-10,5.972866748821171e-15
6.8351644458552e-10,6.890141477677104e-15
7.429208727434308e-10,7.916800677239425e-15
8.056712304415784e-10,9.062348909544373e-15
8.718591963645165e-10,1.0336825026545684e-14
9.415764500205994e-10,1.1750817908887354e-14
1.0149146717686965e-09,1.3315477234537639e-14
1.0919655428312387e-09,1.5042541642908727e-14
1.1728207453215543e-09,1.6944335421430915e-14
1.2575719622724474e-09,1.9033788386107656e-14
1.3463108776448953e-09,2.1324464045635242e-14
1.4391291763578694e-09,2.38305538029076e-14
1.5361185443107018e-09,2.6566907604205325e-14
1.6373706684017212e-09,2.954904222276032e-14
1.7429772365543486e-09,3.27931536841027e-14
1.8530299377344914e-09,3.6316130519764155e-14
1.967620461972908e-09,4.0135584416467073e-14
2.0868405003987597e-09,4.4269837790777554e-14
2.210781745237121e-09,4.873796769199788e-14
2.3395358898549577e-09,5.3559795861889035e-14
2.4731946287772765e-09,5.875591524207735e-14
2.6118496576945827e-09,6.434770902625319e-14
2.755592673503882e-09,7.035735728702269e-14
2.904515374323593e-09,7.680784360275931e-14
3.0587094595109395e-09,8.372299481871408e-14
3.218266629688047e-09,9.112747110673806e-14
3.383278586764306e-09,9.904679578611488e-14
3.5538370339587404e-09,1.0750736195041248e-13
3.730033675817398e-09,1.1653644572118646e-13
3.911960218245663e-09,1.2616222778524817e-13
4.099708368519433e-09,1.364138099617938e-13
4.293369835305003e-09,1.4732121685911727e-13
4.493036328702552e-09,1.5891542072530432e-13
4.6987995602324775e-09,1.7122836132878733e-13
4.910751242895035e-09,1.8429294264491957e-13
5.128983091167855e-09,1.9814305936338194e-13
5.353586821032032e-09,2.1281362008216387e-13
5.584654150003193e-09,2.2834054233742464e-13
5.822276797140194e-09,2.4476078076761305e-13
6.06654648308612e-09,2.621123337403189e-13
6.317554930065807e-09,2.804342648895411e-13
6.575393861921866e-09,2.9976672299624314e-13
6.8401550041445125e-09,3.201509403316394e-13
7.111930083877772e-09,3.416292475676121e-13
7.3908108299443425e-09,3.64245115194534e-13
7.676888972879123e-09,3.880431386108524e-13
7.970256244939176e-09,4.1306905800364374e-13
8.27100438012235e-09,4.3936979976643725e-13
8.579225114215743e-09,4.669934367381042e-13
