e,p
1.0,3.3333333333333338e-31
1.0,3.382822047215101e-31
1.0,3.4330455009373975e-31
1.0,3.4840146028990906e-31
1.0,3.535740423451952e-31
1.0,3.588234197304875e-31
1.0,3.641507325964263e-31
1.0,3.6955713802101645e-31
1.0,3.750438102609625e-31
1.0,3.806119410067054e-31
1.0,3.862627396412448e-31
1.0,3.9199743350283596e-31
1.0,3.978172681515386e-31
1.0,4.037235076397753e-31
1.0,4.097174347868538e-31
1.0,4.158003514576153e-31
1.0,4.21973578845186e-31
1.0,4.282384577579264e-31
1.0,4.345963489106753e-31
1.0,4.410486332202657e-31
1.0,4.47596712105484e-31
1.0,4.542420077914264e-31
1.0,4.609859636184273e-31
1.0,4.678300443555379e-31
1.0,4.747757365186597e-31
1.0,4.818245486934368e-31
1.0,4.889780118628871e-31
1.0,4.962376797399545e-31
1.0,5.036051291049594e-31
1.0,5.1108196014805906e-31
1.0,5.186697968168333e-31
1.0,5.263702871689682e-31
1.0,5.3418510373024315e-31
1.0,5.421159438577656e-31
1.0,5.50164530108662e-31
1.0,5.583326106141999e-31
1.0,5.666219594594637e-31
1.0,5.7503437706871305e-31
1.0,5.835716905963933e-31
1.0,5.9223575432402534e-31
1.0,6.010284500629136e-31
1.0,6.099516875629032e-31
1.0,6.190074049271589e-31
1.0,6.281975690330994e-31
1.0,6.37524175959635e-31
1.0,6.469892514206676e-31
1.0,6.565948512051139e-31
1.0,6.663430616233734e-31
1.0,6.762359999605072e-31
1.0,6.862758149360918e-31
1.0,6.964646871708964e-31
1.0,7.068048296605487e-31
1.0,7.172984882561453e-31
1.0,7.2794794215209105e-31
1.0,7.387555043810869e-31
1.0,7.497235223165558e-31
1.0,7.608543781824684e-31
1.0,7.721504895707371e-31
1.0,7.836143099663532e-31
1.0,7.952483292802283e-31
1.0,8.070550743900457e-31
1.0,8.190371096890409e-31
1.0,8.31197037643026e-31
1.0,8.435374993556193e-31
1.0,8.560611751418649e-31
1.0,8.687707851104375e-31
1.0,8.81669089754388e-31
1.0,8.947588905507712e-31
1.0,9.080430305690617e-31
1.0,9.215243950887112e-31
1.0,9.35205912225803e-31
1.0,9.49090553569007e-31
1.0,9.631813348250542e-31
1.0,9.77481316473679e-31
1.0,9.919936044324089e-31
1.0,1.0067213507310985e-30
1.0,1.0216677541965976e-30
1.0,1.0368360611475051e-30
1.0,1.0522295660992333e-30
1.0,1.0678516124796283e-30
1.0,1.0837055933550848e-30
1.0,1.09979495216758e-30
1.0,1.11612318348251e-30
1.0,1.1326938337477619e-30
1.0,1.1495105020639667e-30
1.0,1.1665768409661858e-30
1.0,1.1838965572172968e-30
1.0,1.2014734126130177e-30
1.0,1.2193112247990245e-30
1.0,1.2374138681001065e-30
1.0,1.2557852743616277e-30
1.0,1.2744294338035838e-30
1.0,1.2933503958871862e-30
1.0,1.3125522701944763e-30
1.0,1.332039227320832e-30
1.0,1.3518154997808833e-30
1.0,1.3718853829277728e-30
1.0,1.39225323588606e-30
1.0,1.4129234824985905e-30
1.0,1.4339006122872514e-30
1.0,1.4551891814281757e-30
1.0,1.4767938137412385e-30
1.0,1.4987192016944194e-30
1.0,1.5209701074229617e-30
1.0,1.5435513637636546e-30
1.0,1.5664678753046004e-30
1.0,1.5897246194503793e-30
1.0,1.613326647503227e-30
1.0,1.6372790857600624e-30
1.0,1.6615871366259965e-30
1.0,1.686256079744243e-30
1.0,1.711291273142799e-30
1.0,1.736698154398292e-30
1.0,1.762482241816895e-30
1.0,1.7886491356330012e-30
1.0,1.815204519225465e-30
1.0,1.8421541603521168e-30
1.0,1.869503912402464e-30
1.0,1.897259715668983e-30
1.0,1.9254275986374423e-30
1.0,1.9540136792961503e-30
1.0,1.9830241664648903e-30
1.0,2.012465361143334e-30
1.0,2.0423436578797108e-30
1.0,2.072665546159643e-30
1.0,2.10343761181559e-30
1.0,2.1346665384573945e-30
1.0,2.1663591089238047e-30
1.0,2.198522206755812e-30
1.0,2.231162817691685e-30
1.0,2.2642880311841997e-30
1.0,2.297905041940574e-30
1.0,2.332021151484994e-30
1.0,2.366643769744634e-30
1.0,2.401780416658922e-30
1.0,2.4374387238129817e-30
1.0,2.473626436095138e-30
1.0,2.5103514133790245e-30
1.0,2.5476216322308667e-30
1.0,2.585445187641809e-30
1.0,2.6238302947862893e-30
1.0,2.6627852908061868e-30
1.0,2.7023186366217725e-30
1.0,2.7424389187693377e-30
1.0,2.7831548512660974e-30
1.0,2.8244752775030084e-30
1.0,2.86640917216535e-30
1.0,2.908965643182183e-30
1.0,2.952153933704383e-30
1.0,2.9959834241123925e-30
1.0,3.0404636340535418e-30
1.0,3.08560422450962e-30
1.0,3.131414999895384e-30
1.0,3.177905910187853e-30
1.0,3.2250870530876185e-30
1.0,3.272968676211832e-30
1.0,3.321561179320142e-30
1.0,3.370875116573418e-30
1.0,3.420921198825999e-30
1.0,3.471710295952259e-30
1.0,3.523253439207289e-30
1.0,3.575561823623083e-30
1.0,3.628646810439839e-30
1.0,3.682519929573792e-30
1.0,3.7371928821213976e-30
1.0,3.792677542900682e-30
1.0,3.8489859630306386e-30
1.0,3.9061303725484474e-30
1.0,3.964123183066059e-30
1.0,4.02297699046571e-30
1.0,4.0827045776359366e-30
1.0,4.143318917247893e-30
1.0,4.204833174572871e-30
1.0,4.267260710342006e-30
1.0,4.330615083647913e-30
1.0,4.3949100548899636e-30
1.0,4.460159588762729e-30
1.0,4.526377857289319e-30
1.0,4.593579242899404e-30
1.0,4.6617783415529254e-30
1.0,4.730989965910564e-30
1.0,4.8012291485507015e-30
1.0,4.8725111452347695e-30
1.0,4.944851438220443e-30
1.0,5.018265739624624e-30
1.0,5.092769994835953e-30
1.0,5.168380385977979e-30
1.0,5.245113335424162e-30
1.0,5.322985509364437e-30
1.0,5.4020138214254e-30
1.0,5.482215436343563e-30
1.0,5.5636077736937865e-30
1.0,5.6462085116726455e-30
1.0,5.730035590937935e-30
1.0,5.815107218505663e-30
1.0,5.901441871704191e-30
1.0,5.989058302187786e-30
1.0,6.077975540009294e-30
1.0,6.1682128977532634e-30
1.0,6.2597899747309365e-30
1.0,6.35272666123676e-30
1.0,6.44704314286892e-30
1.0,6.542759904913175e-30
1.0,6.639897736792578e-30
1.0,6.73847773658273e-30
1.0,6.83852131559405e-30
1.0,6.940050203022647e-30
1.0,7.043086450669393e-30
1.0,7.14765243772997e-30
1.0,7.253770875655111e-30
1.0,7.361464813083869e-30
1.0,7.470757640849551e-30
1.0,7.581673097059961e-30
1.0,7.69423527225367e-30
1.0,7.808468614631939e-30
1.0,7.924397935369289e-30
1.0,8.042048414001916e-30
1.0,8.161445603897074e-30
1.0,8.282615437803002e-30
1.0,8.405584233481244e-30
1.0,8.53037869942327e-30
1.0,8.657025940650933e-30
1.0,8.785553464604106e-30
1.0,8.915989187115008e-30
1.0,9.048361438471226e-30
1.0,9.182698969569496e-30
1.0,9.319030958159725e-30
1.0,9.45738701518291e-30
1.0,9.597797191201968e-30
1.0,9.740291982929157e-30
1.0,9.884902339849652e-30
1.0,1.0031659670943463e-29
1.0,1.018059585150792e-29
1.0,1.0331743230080275e-29
1.0,1.048513463546436e-29
1.0,1.064080338386025e-29
1.0,1.079878328610105e-29
1.0,1.0959108654996259e-29
1.0,1.1121814312784152e-29
1.0,1.12869355986957e-29
1.0,1.1454508376629434e-29
1.0,1.1624569042941726e-29
1.0,1.1797154534351225e-29
1.0,1.1972302335962073e-29
1.0,1.2150050489405305e-29
1.0,1.2330437601101068e-29
1.0,1.251350285064453e-29
1.0,1.26992859993148e-29
1.0,1.288782739871175e-29
1.0,1.3079167999519486e-29
1.0,1.327334936040142e-29
1.0,1.3470413657026425e-29
1.0,1.3670403691228913e-29
1.0,1.387336290030607e-29
1.0,1.4079335366451422e-29
1.0,1.428836582633027e-29
1.0,1.4500499680795452e-29
1.0,1.4715783004749115e-29
1.0,1.49342625571497e-29
1.0,1.5155985791167487e-29
1.0,1.5381000864492178e-29
1.0,1.56093566497916e-29
1.0,1.584110274532773e-29
1.0,1.607628948572829e-29
1.0,1.631496795292019e-29
1.0,1.6557189987224006e-29
1.0,1.6803008198613143e-29
1.0,1.705247597814153e-29
1.0,1.7305647509538917e-29
1.0,1.7562577780980545e-29
1.0,1.7823322597029313e-29
1.0,1.8087938590757362e-29
1.0,1.83564832360462e-29
1.0,1.8629014860069445e-29
1.0,1.890559265596235e-29
1.0,1.9186276695677197e-29
1.0,1.9471127943031994e-29
1.0,1.976020826695039e-29
1.0,2.0053580454900562e-29
1.0,2.0351308226532002e-29
1.0,2.0653456247514753e-29
1.0,2.0960090143585777e-29
1.0,2.1271276514801368e-29
1.0,2.1587082950003833e-29
1.0,2.1907578041500248e-29
1.0,2.2232831399961733e-29
1.0,2.2562913669542203e-29
1.0,2.28978965432215e-29
1.0,2.3237852778378227e-29
1.0,2.3582856212590963e-29
1.0,2.3932981779677093e-29
1.0,2.428830552596669e-29
1.0,2.4648904626820944e-29
